admin_level_2,admin_level_1,admin_level_0
Abitibi-Temiscamingue,Quebec,Canada
Albert County,New Brunswick,Canada
Alexander,Manitoba,Canada
Algoma,Ontario,Canada
Alonsa,Manitoba,Canada
Annapolis County,Nova Scotia,Canada
Antigonish County,Nova Scotia,Canada
Argyle,Manitoba,Canada
Armstrong,Manitoba,Canada
Beaver County,Alberta,Canada
Birch Hills County,Alberta,Canada
Brant,Ontario,Canada
Brazeau County,Alberta,Canada
Brokenhead,Manitoba,Canada
Bruce County,Ontario,Canada
Cape Breton County,Nova Scotia,Canada
Capital Regional District,British Columbia,Canada
Cardston County,Alberta,Canada
Cariboo Regional District,British Columbia,Canada
Carleton County,New Brunswick,Canada
Cartier,Manitoba,Canada
Central Coast Regional District,British Columbia,Canada
Charlotte County,New Brunswick,Canada
Chatham-Kent,Ontario,Canada
Clearwater County,Alberta,Canada
Cochrane District,Ontario,Canada
Colchester,Nova Scotia,Canada
Coldwell,Manitoba,Canada
Columbia-Shuswap Regional District,British Columbia,Canada
Cornwallis,Manitoba,Canada
Cote-Nord,Quebec,Canada
County of Athabasca No. 12,Alberta,Canada
County of Barrhead No. 11,Alberta,Canada
County of Camrose No. 22,Alberta,Canada
County of Forty Mile No. 8,Alberta,Canada
County of Grande Prairie No. 1,Alberta,Canada
County of Lethbridge No. 26,Alberta,Canada
County of Minburn No. 27,Alberta,Canada
County of Newell No. 4,Alberta,Canada
County of Paintearth No. 18,Alberta,Canada
County of Stettler No. 6,Alberta,Canada
County of St. Paul No. 19,Alberta,Canada
County of Thorhild No. 7,Alberta,Canada
County of Two Hills No. 21,Alberta,Canada
County of Vermilion River No. 24,Alberta,Canada
County of Warner No. 5,Alberta,Canada
County of Wetaskiwin No. 10,Alberta,Canada
Cowichan Valley Regional District,British Columbia,Canada
Cumberland County,Nova Scotia,Canada
Cypress County,Alberta,Canada
Dauphin,Manitoba,Canada
De Salaberry,Manitoba,Canada
Digby County,Nova Scotia,Canada
Dufferin County,Ontario,Canada
Dufferin,Manitoba,Canada
Durham,Ontario,Canada
East St. Paul,Manitoba,Canada
Elgin County,Ontario,Canada
Elton,Manitoba,Canada
Essex County,Ontario,Canada
Estrie,Quebec,Canada
Ethelbert,Manitoba,Canada
Fisher,Manitoba,Canada
Flagstaff County,Alberta,Canada
Fraser Valley Regional District,British Columbia,Canada
Frontenac County,Ontario,Canada
Gilbert Plains,Manitoba,Canada
Gimli,Manitoba,Canada
Grahamdale,Manitoba,Canada
Grandview,Manitoba,Canada
Metro Vancouver Regional District,British Columbia,Canada
Grey County,Ontario,Canada
Grey,Manitoba,Canada
Guysborough County,Nova Scotia,Canada
Haldimand County,Ontario,Canada
Haliburton County,Ontario,Canada
Halifax Regional Municipality,Nova Scotia,Canada
Halton,Ontario,Canada
Hamilton,Ontario,Canada
Hamiota,Manitoba,Canada
Hanover,Manitoba,Canada
Hants,Nova Scotia,Canada
Hastings County,Ontario,Canada
Headingley,Manitoba,Canada
Huron County,Ontario,Canada
Improvement District No. 12,Alberta,Canada
Improvement District No. 13,Alberta,Canada
Improvement District No. 24,Alberta,Canada
Improvement District No. 25,Alberta,Canada
Improvement District No. 4,Alberta,Canada
Improvement District No. 9,Alberta,Canada
Inverness County,Nova Scotia,Canada
Jasper,Alberta,Canada
Kananaskis Improvement District,Alberta,Canada
Kawartha Lakes,Ontario,Canada
Kelsey,Manitoba,Canada
Kenora District,Ontario,Canada
Kent County,New Brunswick,Canada
Kings County,Prince Edward Island,Canada
Kings County,Nova Scotia,Canada
Kings County,New Brunswick,Canada
Kneehill County,Alberta,Canada
La Broquerie,Manitoba,Canada
Lac du Bonnet,Manitoba,Canada
Lacombe County,Alberta,Canada
Lac Ste. Anne County,Alberta,Canada
Lambton County,Ontario,Canada
Lamont County,Alberta,Canada
Lanark County,Ontario,Canada
Lanaudiere,Quebec,Canada
Laurentides,Quebec,Canada
Laval,Quebec,Canada
Leduc County,Alberta,Canada
Lennox and Addington County,Ontario,Canada
Lorne,Manitoba,Canada
Louise,Manitoba,Canada
Lunenburg County,Nova Scotia,Canada
Macdonald,Manitoba,Canada
Manitoulin District,Ontario,Canada
Mauricie,Quebec,Canada
McCreary,Manitoba,Canada
Middlesex County,Ontario,Canada
Montcalm,Manitoba,Canada
Monteregie,Quebec,Canada
Montreal,Quebec,Canada
Morris,Manitoba,Canada
Mossey River,Manitoba,Canada
Mountain View County,Alberta,Canada
Municipal District of Acadia No. 34,Alberta,Canada
Municipal District of Bighorn No. 8,Alberta,Canada
Municipal District of Big Lakes No. 125,Alberta,Canada
Municipal District of Bonnyville No. 87,Alberta,Canada
Municipal District of Clear Hills No. 21,Alberta,Canada
Municipal District of Fairview No. 136,Alberta,Canada
Municipal District of Foothills No. 31,Alberta,Canada
Municipal District of Greenview No. 16,Alberta,Canada
Municipal District of Lesser Slave River No. 124,Alberta,Canada
Municipal District of Northern Lights No. 22,Alberta,Canada
Municipal District of Opportunity No. 17,Alberta,Canada
Municipal District of Peace No. 135,Alberta,Canada
Municipal District of Pincher Creek No. 9,Alberta,Canada
Municipal District of Provost No. 52,Alberta,Canada
Municipal District of Ranchland No. 66,Alberta,Canada
Municipal District of Rocky View No. 44,Alberta,Canada
Municipal District of Smoky River No. 130,Alberta,Canada
Municipal District of Spirit River No. 133,Alberta,Canada
Municipal District of Taber,Alberta,Canada
Municipal District of Wainwright No. 61,Alberta,Canada
Municipal District of Westlock No. 92,Alberta,Canada
Municipal District of Willow Creek No. 26,Alberta,Canada
District Municipality of Muskoka,Ontario,Canada
Regional Municipality of Niagara,Ontario,Canada
Nipissing District,Ontario,Canada
Northern Sunrise County,Alberta,Canada
North Norfolk,Manitoba,Canada
Northumberland County,New Brunswick,Canada
Northumberland County,Ontario,Canada
Outaouais,Quebec,Canada
Oxford County,Ontario,Canada
Parkland County,Alberta,Canada
Parry Sound District,Ontario,Canada
Peace River Regional District,British Columbia,Canada
Peel,Ontario,Canada
Pembina,Manitoba,Canada
Perth County,Ontario,Canada
Peterborough County,Ontario,Canada
Pictou County,Nova Scotia,Canada
Piney,Manitoba,Canada
Pipestone,Manitoba,Canada
Ponoka County,Alberta,Canada
Portage la Prairie,Manitoba,Canada
Powell River Regional District,British Columbia,Canada
Prince County,Prince Edward Island,Canada
Prince Edward County,Ontario,Canada
Queens County,Prince Edward Island,Canada
Queens County,Nova Scotia,Canada
Queens County,New Brunswick,Canada
Rainy River District,Ontario,Canada
Red Deer County,Alberta,Canada
Regional District of Alberni-Clayoquot,British Columbia,Canada
Regional District of Bulkley-Nechako,British Columbia,Canada
Regional District of Central Kootenay,British Columbia,Canada
Regional District of Central Okanagan,British Columbia,Canada
Regional District of East Kootenay,British Columbia,Canada
Regional District of Fraser-Fort George,British Columbia,Canada
Regional District of Kitimat-Stikine,British Columbia,Canada
Regional District of Kootenay-Boundary,British Columbia,Canada
Regional District of Mount Waddington,British Columbia,Canada
Regional District of Nanaimo,British Columbia,Canada
Regional District of North Okanagan,British Columbia,Canada
Regional District of Okanagan-Similkameen,British Columbia,Canada
Renfrew County,Ontario,Canada
Reynolds,Manitoba,Canada
