admin_code	name	name_en
CA.10.08	Abitibi-Témiscamingue	Abitibi-Temiscamingue
CA.04.1306	Albert County	Albert County
CA.03.5883398	Alexander	Alexander
CA.08.3557	Algoma	Algoma
CA.03.5884145	Alonsa	Alonsa
CA.07.1205	Annapolis County	Annapolis County
CA.07.1214	Antigonish County	Antigonish County
CA.03.5886869	Argyle	Argyle
CA.03.5887047	Armstrong	Armstrong
CA.01.4810016	Beaver County	Beaver County
CA.01.4819049	Birch Hills County	Birch Hills County
CA.08.3529	Brant	Brant
CA.01.4811032	Brazeau County	Brazeau County
CA.03.5909350	Brokenhead	Brokenhead
CA.08.3541	Bruce County	Bruce County
CA.07.1217	Cape Breton County	Cape Breton County
CA.02.5917	Capital Regional District	Capital Regional District
CA.01.4803001	Cardston County	Cardston County
CA.02.5941	Cariboo Regional District	Cariboo Regional District
CA.04.1311	Carleton County	Carleton County
CA.03.5917773	Cartier	Cartier
CA.02.5945	Central Coast Regional District	Central Coast Regional District
CA.04.1302	Charlotte County	Charlotte County
CA.08.3536	Chatham-Kent	Chatham-Kent
CA.01.4809002	Clearwater County	Clearwater County
CA.08.3556	Cochrane District	Cochrane District
CA.07.1210	Colchester	Colchester
CA.03.5925083	Coldwell	Coldwell
CA.02.5939	Columbia-Shuswap Regional District	Columbia-Shuswap Regional District
CA.03.5928075	Cornwallis	Cornwallis
CA.10.09	Côte-Nord	Cote-Nord
CA.01.4813044	County of Athabasca No. 12	County of Athabasca No. 12
CA.01.4813018	County of Barrhead No. 11	County of Barrhead No. 11
CA.01.4810001	County of Camrose No. 22	County of Camrose No. 22
CA.01.4801008	County of Forty Mile No. 8	County of Forty Mile No. 8
CA.01.4819006	County of Grande Prairie No. 1	County of Grande Prairie No. 1
CA.01.4802011	County of Lethbridge No. 26	County of Lethbridge No. 26
CA.01.4810026	County of Minburn No. 27	County of Minburn No. 27
CA.01.4802031	County of Newell No. 4	County of Newell No. 4
CA.01.4807011	County of Paintearth No. 18	County of Paintearth No. 18
CA.01.4807019	County of Stettler No. 6	County of Stettler No. 6
CA.01.4812014	County of St. Paul No. 19	County of St. Paul No. 19
CA.01.4813036	County of Thorhild No. 7	County of Thorhild No. 7
CA.01.4810048	County of Two Hills No. 21	County of Two Hills No. 21
CA.01.4810036	County of Vermilion River No. 24	County of Vermilion River No. 24
