place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Acapulco,[],,,Mexico,,,,,16.84942,-99.90891,Acapulco de Juarez
Adams County,[],Adams County,Ohio,,,mouth of Ohio Brush Creek,,,38.84551,-83.47215,Adams County
Adamstown,[],Lancaster County,Pennsylvania,,,,,,40.2412,-76.05633,Adamstown
Africa,[],,,,Africa,,,,37.84033,-87.07277,Africa
Albany,['Albanien'],,New York,,,,,,42.65258,-73.75623,Albany
Algiers,[],,,,,,,,38.48727,-87.17501,Algiers
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory,,,35.98844,-82.66736,Allegheny
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains,H,,40.4434,-80.01505,Allegheny River
Allentown,['Allenstown'],,Pennsylvania,,,,,,40.60843,-75.49018,Allentown
Amboy,[],,,,,,,,34.80592,-92.29154,Amboy
America,[],,,,,,,,37.13838,-89.12368,America
Amherstburg,[],,Ontario,,,,,,42.10009,-83.09985,Amherstburg
Ancaster,[],,Ontario,,,,,,43.20917,-80.01194,Ancaster
Annapolis,[],,Maryland,,,,,,38.97859,-76.49184,Annapolis
Astrachan,[],,,Russia,,,,,59.62276,33.66004,Astrachi
Asylum,[],Bradford County,Pennsylvania,,,,,,41.71313,-76.33355,Asylum
Atlantic Ocean,['Coast'],,,,,,H,,48.54997,-55.98154,Atlantic Lake
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,,,,40.81645,-79.52199,Kittanning
Augusta,[],Bracken County,Kentucky,,,,,,38.77174,-84.00576,Augusta
Baltimore,[],,Maryland,,,,,,39.29038,-76.61219,Baltimore
Barbados,[],,,Barbados,,West Indies,,,13.16453,-59.55165,Barbados
Barby,[],,,,,Moravian Center in Germany,,,51.96711,11.88261,Barby
Barton,[],,Ontario,,,,,,43.23341,-79.86633,Barton
Bass Islands,[],,,,,Lake Erie | Middle and South,,,41.68338,-82.81241,Bass Islands
Bath,[],Steuben County,New York,,,,,,42.33702,-77.31776,Bath
Bay of Quinte,[],,,,,Lake Ontario,H,,44.15012,-77.24946,Bay of Quinte
Beaver,['Beavertown'],,Pennsylvania,,,,,,40.69534,-80.30478,Beaver
Beaver Creek,['Little Beaver River'],,Ohio,,,Little,H,,39.94145,-83.76132,Beaver Creek
Beaver Dam,[],,,,,,,,45.78915,-66.69517,Beaver Dam
Beaver River,[],,,,,Great | Creek,H,,53.73547,-60.93575,Beaver River
Bedford,[],Bedford County,Pennsylvania,,,,,,40.01869,-78.50391,Bedford
Bedford,[],,Massachusetts,,,England,,,42.49065,-71.27617,Bedford
Bedford County,[],Bedford County,Pennsylvania,,,,,,40.00656,-78.49032,Bedford County
Beersheba,[],,,,,,,,35.03791,-81.31925,Beersheba
Belle River,[],,,,,Western Ontario,H,,45.97366,-62.84619,Belle River
Belmont County,[],Belmont County,Ohio,,,,,,40.0158,-80.98854,Belmont County
Berbice,[],,,,South America,British Guyana,,,5.45,-57.95,Berbice
Berks County,['Berkshire'],Berks County,Pennsylvania,,,,,,40.4163,-75.926,Berks County
Berlin,[],,,Germany,,,,,54.03573,10.44987,Berlin
Bern,[],,,Switzerland,,,,,46.94809,7.44744,Bern
Berthelsdorf,[],,,Germany,,near Herrnhut,,,51.04679,14.22197,Berthelsdorf
Bethabara,[],,North Carolina,,,,,,35.00704,-83.66239,Bethabara Church
Bethel,[],Berks County,Pennsylvania,,,,,,40.47454,-76.29134,Bethel
Bethlehem,[],,Pennsylvania,,,Moravian Center,,,40.86173,-78.73031,Bethlehem
Bethlehem,[],,New Hampshire,,,Palestine,,,44.28034,-71.68814,Bethlehem
Big Beaver Creek,[],,Pennsylvania,,,,H,,39.94816,-76.25162,Big Beaver Creek
Big Sodus Bay,[],,New York,,,,H,,43.33817,-76.72821,Blind Sodus Bay
Bigbear Creek,[],,Ontario,,,,H,,48.862,-84.49419,Bear Creek
Black Creek,[],,,,,tribut. of St. Marys River,H,,46.2501,-62.44864,Black Creek
Black River,['presumably'],,Ohio,,,,H,,41.47282,-82.18404,Black River
Blue Mountains,[],,Pennsylvania,,,,T,,40.12453,-77.66638,Blue Mountain
Blue Mountains,[],Franklin County,Pennsylvania,,,,T,,39.95037,-77.93667,Big Mountain
Boston,[],,Massachusetts,,,,,,42.35843,-71.05977,Boston
Bound Brook,['Bambrug'],Somerset County,New Jersey,,,,,,40.56844,-74.53849,Bound Brook
Brant's Town,"['probably Brantford', 'Ontario']",,,,,,,,49.25014,-84.49983,Ontario
Brantford,['called Brownstown'],,Ontario,,,Brand's Town | Mohawk Town,,,43.1668,-80.29967,Brantford
Bremen,[],,,Germany,,,,,53.08333,8.83333,Bremen
Bristol,[],Bucks County,Pennsylvania,,,,,,40.10067,-74.85183,Bristol
Broad Mountain,[],,,,,Pocono Plateau,T,,39.98231,-77.8225,Broad Mountain
Brotherton,['Brothertown'],,New York,,,Mohawk River,,,42.94868,-75.42128,Brothertown
Brownstown,[],,Michigan,,,mouth of Huron River below Detroit,,,42.07782,-83.18937,Brownstown Creek
Bucks County,[],Bucks County,Pennsylvania,,,,,,40.33694,-75.10687,Bucks County
Buffalo,[],,New York,,,,,,42.88645,-78.87837,Buffalo
Buffalo Creek,[],Brooke County,West Virginia,,,,H,,40.26451,-80.61535,Buffalo Creek
Burlington,[],,Ontario,,,,,,43.38621,-79.83713,Burlington
Burlington,[],,New Jersey,,,,,,40.07122,-74.86489,Burlington
Butler County,['Fort Hamilton'],Butler County,Ohio,,,,,,39.43865,-84.57566,Butler County
Caledonia,[],Livingston County,New York,,,,,,42.97312,-77.85278,Caledonia
California,[],,California,,,,,,39.00934,-120.77076,California
Cambridge,[],Guernsey County,Ohio,,,,,,40.03118,-81.58846,Cambridge
Camden,[],,Ontario,,,,,,42.56678,-82.06649,Camden
Canaan,[],Litchfield County,Connecticut,,,,,,42.02731,-73.32928,Canaan
Canada,[],,,Canada,,,,,60.10867,-113.64258,Canada
Canajoharis,"['Connitschochery', 'Conitshaggery']",Montgomery County,New York,,,,,,42.90563,-74.57181,Canajoharie
Canandagua,[],Ontario County,New York,,,,,,42.87423,-77.28804,Canandaigua
Canaseraga Creek,[],Livingston County,New York,,,,H,,42.75534,-77.84056,Canaseraga Creek
Canoos,['Oil Creek'],,New York,,,,,,42.16979,-78.38891,Oil Creek
Canoos,['Oil Creek'],,Pennsylvania,,,,,,39.86427,-76.88998,Oil Creek
Canterbury,[],,,,,England,,,45.89541,-67.46781,Canterbury
Canton,[],,Ohio,,,,,,40.79895,-81.37845,Canton
Cape Cod,[],,Massachusetts,,,,T,,41.6862,-70.24308,Cape Cod
Cape of Good Hope,[],,,,,,T,,-34.35027,18.47909,Cape of Good Hope
Caribbean Islands,[],,,,,,,,27.63059,-97.30332,Caribbean Park
Carleton Island,[],,,,,Lake Ontario,,,58.05029,-102.01744,Carleton Island
Carlisle,[],Cumberland County,Pennsylvania,,,,,,40.20148,-77.18887,Carlisle
Carolina,[],,,,,Colony,,,31.24073,-86.52774,Carolina
Catskill,[],,New York,,,County | Greene,,,42.21731,-73.86457,Catskill
Catskill Mountains,[],,New York,,,,T,,42.25036,-74.24987,Catskill Mountains
Cayuga,['town'],,New York,,,,,,42.91896,-76.72634,Cayuga
Cayuga Lake,[],,New York,,,,,,42.58171,-76.63492,Cayuga Lake
Chartiers Creek,[],Allegheny County,Pennsylvania,,,,H,,40.46507,-80.05283,Chartiers Creek
Chemung,"['Schammungk', 'Schommunk', 'Shammunk', 'Shommunk', 'Uschummo', 'Uschommung']",,New York,,,town in Chemung County,,,42.00841,-76.62384,Chemung
Chenango,[],,,,,,,,30.33242,-91.25622,Chenango
Cherokee River,[],,,,,,H,,40.41672,-83.79521,Cherokee Run
Chester,[],,Pennsylvania,,,near Philadelphia,,,39.84967,-75.35707,Chester
Chester County,[],Chester County,Pennsylvania,,,,,,39.97314,-75.74845,Chester County
Chestnut Hill,[],,,,,,T,,39.65094,-75.77049,Chestnut Hill
Chestnut Hill near Gnadenhutten,['Kastanienberg'],Carbon County,Pennsylvania,,,,T,,41.04148,-75.63741,Chestnut Ridge
Chippawa,['Chippaway'],,Ontario,,,,,,43.0571,-79.04717,Chippawa
Chippewa,[],,,,,,,,44.49736,-76.82644,Chippewa
Chippewa Creek,[],,Ontario,,,near Niagara,H,,46.3001,-79.46633,Chippewa Creek
Chippewa Town,[],,Ontario,,,,,,44.49736,-76.82644,Chippewa
Christian Spring,[],,Pennsylvania,,,,,,40.73426,-75.34074,Christian Springs
Christiansbrunn,['Christian Spring'],,Pennsylvania,,,place near Nazareth,,,39.95483,-75.99689,Christiana
Cincinnati,[],,Ohio,,,,,,39.12711,-84.51439,Cincinnati
Cleveland,['Cleveland'],,Ohio,,,,,,41.4995,-81.69541,Cleveland
Clinton River,[],,Michigan,,,,H,,42.59476,-82.77547,Clinton River
Codorus Creek,['Catores'],York County,Pennsylvania,,,,H,,40.05843,-76.64413,Codorus Creek
Columbia,[],Hamilton County,Ohio,,,,,,39.11173,-84.43466,Columbia
Conestoga,[],Lancaster County,Pennsylvania,,,,,,39.94066,-76.34635,Conestoga
Connecticut,[],,Connecticut,,,,,,41.66704,-72.66648,Connecticut
Conrad Weiser's Creek,['Tulpehocken Creek'],Berks County,Pennsylvania,,,,H,,40.34454,-75.95021,Tulpehocken Creek
Copenhagen,[],,,Denmark,,,,,55.67594,12.56553,Copenhagen
Cornelius Creek,[],,,,,tributary to Muskingum River,H,,34.71259,-87.84614,Cornelius Creek
Cornwall,[],Litchfield County,Connecticut,,,,,,41.84371,-73.32928,Cornwall
Coshocton,[],,,,,former Goschachgunk,,,40.27202,-81.85958,Coshocton
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,New Jersey,,,,,,39.85206,-74.1932,Cranberry Hill
Credit River,[],,Ontario,,,,H,,43.55206,-79.59372,Credit River
Croton River,['Groodens Revier'],,,,,,H,,41.18371,-73.87958,Croton River
Cumberland County,[],Cumberland County,Pennsylvania,,,,,,40.16363,-77.26555,Cumberland County
Cunningham Island,[],,Ontario,,,probably Pelee Island,,,45.4168,-75.74935,Cunningham Island
Cuyahoga River,[],,,,,,H,,41.50366,-81.71235,Cuyahoga River
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,Ohio,,,Akron,H,,41.50366,-81.71235,Cuyahoga River
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River,,,45.462,-65.80302,Damascus
