person,signature,factoid,year,note,sentiment,geo_person,lat,lon,geo_factoid,factoid_lat,factoid_lon
"Addison, Anglican clergyman; Niagara.","163,7","In charge of services at Brantford, Ont.",1810,,NEUTRAL,,,,"Brantford, Ontario",43.1668,-80.29967
"Adolph, Jacob.","116,3",Returning from Bethlehem,1748,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,7",Arriving from Bethlehem,1750,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,5",Returning from Bethlehem,1749,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,5",Going to Bethlehem,1749,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,5",Coming to Gnadenhutten as messenger,1749,,NEUTRAL,,,,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob.","116,5",Coming to Gnadenhutten,1749,,NEUTRAL,,,,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob.","116,5",Going to Bethlehem,1749,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,6",Going to Bethlehem,1749,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,7",Coming to work at Gnadenhutten,1750,,NEUTRAL,,,,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob.","116,2",Going to Bethlehem,1747,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,3",Returning from Bethlehem,1748-01-06,st. vet.,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob.","116,3",Trip to Bethlehem,1748,,NEUTRAL,,,,Bethlehem,40.86173,-78.73031
"Adolph, Jacob; Bethlehem.","116,2",Coming to Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob; Bethlehem.","116,2",Arriving at Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Albrecht, Johann Andreas; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Albrecht, Johann Andreas; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
Allen.,"172,2","Tavern keeper at Pittsburg, Pa.",1799,,NEUTRAL,,,,"Pittsburg, Pennsylvania",39.94677,-76.40302
