person,signature,factoid,year,note,sentiment,geo_person,lat,lon,geo_factoid,factoid_lat,factoid_lon
"Abbot (""Abbot""), Detroit merchant","155,2",Bringing favorable news about the treaty,1789,,POSITIVE,Detroit,42.33143,-83.04575,,,
"Abbot (""Abbot""), Detroit merchant","155,2",Coming from Pittsburg with mail,1789,,NEUTRAL,Detroit,42.33143,-83.04575,,,
"Abbot (""Abbot""), Detroit merchant","162,3",To be reported for selling liquor to Indians,1800,,NEUTRAL,Detroit,42.33143,-83.04575,,,
"Adams, doctor; Litchfield Co., Conn.","115,7",Protecting the rights of the Indians,1757,,NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,,,
"Adams, doctor; Litchfield Co., Conn.","115,9",Ref.,1759,(lives between Sichem and Pachgatgoch),NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,,,
"Aderton; Litchfield Co., Conn.","115,6",Having service at his place,1756,,NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,,,
"Aderton; Litchfield Co., Conn.","115,7",Present at Pachgatgoch services,1757,(living six miles from Pachgatgoch),NEUTRAL,"Litchfield County, Connecticut",41.74732,-73.18872,,,
"Adolph, Jacob; Bethlehem.","116,2",Coming to Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob; Bethlehem.","116,2",Coming to the synod,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,,,
"Adolph, Jacob; Bethlehem.","116,2",Arriving at Gnadenhutten,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Adolph, Jacob; Bethlehem.","116,2",Helping an Indian build a chimney,1747,st. n.,POSITIVE,Bethlehem,40.86173,-78.73031,,,
"Adolph, Jacob; Bethlehem.","116,2",Doing carpenter work,1747-10-13,st. vet.,NEUTRAL,Bethlehem,40.86173,-78.73031,,,
"Adolph, Jacob; Bethlehem.","116,2",Interview with Pyrlaeus,1747,,NEUTRAL,Bethlehem,40.86173,-78.73031,,,
"Albrecht, Johann Andreas; Bethlehem.","117,3",Visitor at Gnadenhutten,1752,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
"Albrecht, Johann Andreas; Bethlehem.","117,3",Playing the traverse flute,1752,,POSITIVE,Bethlehem,40.86173,-78.73031,,,
"Albrecht, Johann Andreas; Bethlehem.","117,4",Visitor at Gnadenhutten,1753,,NEUTRAL,Bethlehem,40.86173,-78.73031,Gnadenhutten,40.3584,-81.43428
