place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Acapulco,[],,,Mexico,,
Achain,[],,Ohio,,,Stone River
Achquittehannink,[],,,,,
Achquittehannink River,['also Echquitehanek'],,Ohio,,,
Achsunnissunk,[],,,,,
Adams County,[],Adams County,Ohio,,,mouth of Ohio Brush Creek
Adamstown,[],Lancaster County,Pennsylvania,,,
Africa,[],,,,Africa,
Alackhookamikoae,[],Northampton County,Pennsylvania,,,branch of Wilson's Creek
Albany,['Albanien'],,New York,,,
Algiers,[],,,,,
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory
Allegheny Mountains,[],,Pennsylvania,,,Bedford and Somerset County
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains
Allemaengel,[],Lehigh County,Pennsylvania,,,Lynn Township
Allemaengel,[],,,,,
Allen Township,[],Northampton County,Pennsylvania,,,
Allentown,['Allenstown'],,Pennsylvania,,,
Allobank,['Hallobank'],,,,,
Almenisepunk,[],,Ohio,,,Vermilion Creek
Amatschiwomunk,[],,,,,
Amboy,[],,,,,
America,[],,,,,
Amherstburg,[],,Ontario,,,
Anahochquaga,[],,,,,
Anahochquaga modern Ouaguaza,"[""also Ann'hochguage"", 'Anagotware']",Broome County,New York,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,
Anajot,[],,New York,,,Oneida capit also | Tuscarora County
Ancaster,[],,Ontario,,,
Annapolis,[],,Maryland,,,
Annaquachticok,"['Annachticok', 'Annacticok']",,Connecticut,,,alternate name of Westenhuc
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",Schuylkill County,Pennsylvania,,,
Anohochquage,[],,,,,
Anokran,[],,,,,place between Shekomeko and Wehtak
Antigua,[],,,,,West Indies
Appelisikook,[],,Ohio,,,Walhending area
Armstrong's Town,[],,,,,
Asscennessik,['Assinnissink'],,,,,
Asscennessink,[],,,,,
Assunnunk,[],,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,Ohio,,,
Astrachan,[],,,Russia,,
Asylum,[],Bradford County,Pennsylvania,,,
Atlantic Ocean,['Coast'],,,,,
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,
Au Glaise River,[],,Ohio,,,
Augusta,[],Bracken County,Kentucky,,,
Austria,[],,,Austria,,
Aux Sables River,[],,,,,Sand River | Ontario called Negausibis
Awassantachque,[],,,,,Awossanttaque | Awossantagque
Balings Kill,[],,Pennsylvania,,,probably Carbon County
Baltimore,[],,Maryland,,,
Barbados,[],,,Barbados,,West Indies
Barby,[],,,,,Moravian Center in Germany
Barton,[],,Ontario,,,
Bass Islands,[],,,,,Lake Erie | Middle and South
Bath,[],Steuben County,New York,,,
Batomick,[],,,,,
Bavianskleof,[],,,,,Cape Colony
Bay of Quinte,[],,,,,Lake Ontario
Beard's Tavern,[],,New York,,,New Jersey and Warwick | place between Hope
Beaver,['Beavertown'],,Pennsylvania,,,
Beaver Creek,['Little Beaver River'],,Ohio,,,Little
Beaver Dam,[],,,,,
Beaver River,[],,,,,Great | Creek
Bedford,[],Bedford County,Pennsylvania,,,
Bedford,[],,Massachusetts,,,England
Bedford County,[],Bedford County,Pennsylvania,,,
Beersheba,[],,,,,
Beersheba,[],Tuscarawas County,Ohio,,,near Gnadenhutten
Belldown,[],,Ontario,,,Chenaie ecartee | Scottish settlement
Belle River,[],,,,,Western Ontario
Belmont County,[],Belmont County,Ohio,,,
Benigna Creek,['?'],,,,,Schuylkill County Pennsylvania | Mahantango Creek
Berbice,[],,,,South America,British Guyana
Berks County,['Berkshire'],Berks County,Pennsylvania,,,
Berlin,[],,,Germany,,
Bern,[],,,Switzerland,,
Berthelsdorf,[],,,Germany,,near Herrnhut
Bethabara,[],,North Carolina,,,
Bethanion,[],,North Carolina,,,
Bethel,[],Berks County,Pennsylvania,,,
Bethel on the Swatara,[],Berks County,Pennsylvania,,,
Bethlehem,[],,Pennsylvania,,,Moravian Center
Bethlehem,[],,New Hampshire,,,Palestine
Big Beaver Creek,[],,Pennsylvania,,,
Big Sodus Bay,[],,New York,,,
Big Stillwater Creek,[],Tuscarawas County,Ohio,,,
Big Stones Creek,[],,Ohio,,,presumably Toussaint River
Big Yellow Creek,[],,Ohio,,,
Big-Tree,[],,New York,,,Genesee
Bigbear Creek,[],,Ontario,,,
Black Creek,[],,,,,tribut. of St. Marys River
Black River,['presumably'],,Ohio,,,
Blanched's Forks,[],Hancock County,Ohio,,,
Blue Mountains,[],,Pennsylvania,,,
Blue Mountains,[],Franklin County,Pennsylvania,,,
Boomerstown,[],Guernsey County,Ohio,,,
Boston,[],,Massachusetts,,,
Bound Brook,['Bambrug'],Somerset County,New Jersey,,,
Boundbrook,['Baumbrook'],,New Jersey,,,
Brandt's Town,[],,Ontario,,,Mohawk village near Brantford
Brant's Town,"['probably Brantford', 'Ontario']",,,,,
Brantford,['called Brownstown'],,Ontario,,,Brand's Town | Mohawk Town
Braunschweig,[],,,,,Brunschwig
Breakneck Hill,[],,Pennsylvania,,,Susquehanna Valley
Bremen,[],,,Germany,,
Bristol,[],Bucks County,Pennsylvania,,,
British Dominions,[],,,,,
Broad Mountain,[],,,,,Pocono Plateau
Brodhead near Dansbury,['Broadhead'],Monroe County,Pennsylvania,,,
Brotherton,['Brothertown'],,New York,,,Mohawk River
Brownstown,[],,Michigan,,,mouth of Huron River below Detroit
Buchkabuchka Creek Pohopoco Creek,['also Bugggabuchga'],Carbon County,Pennsylvania,,,
