place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Acapulco,[],,,MX,,,,,16.84942,-99.90891,Acapulco de Juarez
Achain,[],,OH,,,Stone River,,,,,
Achquittehannink,[],,,,,,,,,,
Achquittehannink River,['also Echquitehanek'],,OH,,,,H,,,,
Achsunnissunk,[],,,,,,,,,,
Adams County,[],001,OH,,,mouth of Ohio Brush Creek,,,38.84551,-83.47215,Adams County
Adamstown,[],071,PA,,,,,,40.2412,-76.05633,Adamstown
Africa,[],,,,Africa,,,,37.84033,-87.07277,Africa
Alackhookamikoae,[],095,PA,,,branch of Wilson's Creek,,,,,
Albany,['Albanien'],,NY,,,,,,42.65258,-73.75623,Albany
Algiers,[],,,,,,,,38.48727,-87.17501,Algiers
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory,,,35.98844,-82.66736,Allegheny
Allegheny Mountains,[],,PA,,,Bedford and Somerset County,T,,,,
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,,L,,,,
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains,H,,40.4434,-80.01505,Allegheny River
Allemaengel,[],077,PA,,,Lynn Township,,,,,
Allemaengel,[],,,,,,,,,,
Allen Township,[],095,PA,,,,,,,,
Allentown,['Allenstown'],,PA,,,,,,40.60843,-75.49018,Allentown
Allobank,['Hallobank'],,,,,,,,,,
Almenisepunk,[],,OH,,,Vermilion Creek,,,,,
Amatschiwomunk,[],,,,,,,,,,
Amboy,[],,,,,,,,34.80592,-92.29154,Amboy
America,[],,,,,,,,37.13838,-89.12368,America
Amherstburg,[],,08,,,,,,42.10009,-83.09985,Amherstburg
Anahochquaga,[],,,,,,,,,,
Anahochquaga modern Ouaguaza,"[""also Ann'hochguage"", 'Anagotware']",007,NY,,,,,,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,,H,,,,
Anajot,[],,NY,,,Oneida capit also | Tuscarora County,,,,,
Ancaster,[],,08,,,,,,43.20917,-80.01194,Ancaster
Annapolis,[],,MD,,,,,,38.97859,-76.49184,Annapolis
Annaquachticok,"['Annachticok', 'Annacticok']",,CT,,,alternate name of Westenhuc,,,,,
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",107,PA,,,,H,,,,
Anohochquage,[],,,,,,,,,,
Anokran,[],,,,,place between Shekomeko and Wehtak,,,,,
Antigua,[],,,,,West Indies,,,,,
Appelisikook,[],,OH,,,Walhending area,,,,,
Armstrong's Town,[],,,,,,,,,,
Asscennessik,['Assinnissink'],,,,,,,,,,
Asscennessink,[],,,,,,,,,,
Assunnunk,[],,,,,,,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,OH,,,,H,,,,
Astrachan,[],,,RU,,,,,59.62276,33.66004,Astrachi
Asylum,[],015,PA,,,,,,41.71313,-76.33355,Asylum
Atlantic Ocean,['Coast'],,,,,,H,,48.54997,-55.98154,Atlantic Lake
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,,,,40.81645,-79.52199,Kittanning
Au Glaise River,[],,OH,,,,H,,,,
Augusta,[],023,KY,,,,,,38.77174,-84.00576,Augusta
Austria,[],,,AT,,,,,,,
Aux Sables River,[],,,,,Sand River | Ontario called Negausibis,H,,,,
Awassantachque,[],,,,,Awossanttaque | Awossantagque,,,,,
Balings Kill,[],,PA,,,probably Carbon County,,,,,
Baltimore,[],,MD,,,,,,39.29038,-76.61219,Baltimore
Barbados,[],,,BB,,West Indies,,,13.16453,-59.55165,Barbados
Barby,[],,,DE,,Moravian Center in Germany,,,51.96711,11.88261,Barby
Barton,[],,08,,,,,,43.23341,-79.86633,Barton
Bass Islands,[],,,,,Lake Erie | Middle and South,,,41.68338,-82.81241,Bass Islands
Bath,[],101,NY,,,,,,42.33702,-77.31776,Bath
Batomick,[],,,,,,,,,,
Bavianskleof,[],,,,,Cape Colony,,,,,
Bay of Quinte,[],,,,,Lake Ontario,H,,44.15012,-77.24946,Bay of Quinte
Beard's Tavern,[],,NY,,,New Jersey and Warwick | place between Hope,,,,,
Beaver,['Beavertown'],,PA,,,,,,40.69534,-80.30478,Beaver
Beaver Creek,['Little Beaver River'],,OH,,,Little,H,,39.94145,-83.76132,Beaver Creek
Beaver Dam,[],,,,,,,,45.78915,-66.69517,Beaver Dam
Beaver River,[],,,,,Great | Creek,H,,53.73547,-60.93575,Beaver River
Bedford,[],009,PA,,,,,,40.01869,-78.50391,Bedford
Bedford,[],,MA,,,England,,,42.49065,-71.27617,Bedford
Bedford County,[],009,PA,,,,,,40.00656,-78.49032,Bedford County
Beersheba,[],,,,,,,,35.03791,-81.31925,Beersheba
Beersheba,[],157,OH,,,near Gnadenhutten,,,,,
Belldown,[],,08,,,Chenaie ecartee | Scottish settlement,,,,,
Belle River,[],,,,,Western Ontario,H,,45.97366,-62.84619,Belle River
Belmont County,[],013,OH,,,,,,40.0158,-80.98854,Belmont County
Benigna Creek,['?'],,,,,Schuylkill County Pennsylvania | Mahantango Creek,H,,,,
Berbice,[],,,GY,South America,British Guyana,,,5.45,-57.95,Berbice
Berks County,['Berkshire'],011,PA,,,,,,40.4163,-75.926,Berks County
Berlin,[],,,DE,,,,,54.03573,10.44987,Berlin
Bern,[],,,CH,,,,,46.94809,7.44744,Bern
Berthelsdorf,[],,,DE,,near Herrnhut,,,51.04679,14.22197,Berthelsdorf
Bethabara,[],,NC,,,,,,35.00704,-83.66239,Bethabara Church
Bethanion,[],,NC,,,,,,,,
Bethel,[],011,PA,,,,,,40.47454,-76.29134,Bethel
Bethel on the Swatara,[],011,PA,,,,,,,,
Bethlehem,[],,PA,,,Moravian Center,,,40.86173,-78.73031,Bethlehem
Bethlehem,[],,NH,,,Palestine,,,44.28034,-71.68814,Bethlehem
Big Beaver Creek,[],,PA,,,,H,,39.94816,-76.25162,Big Beaver Creek
Big Sodus Bay,[],,NY,,,,H,,43.33817,-76.72821,Blind Sodus Bay
Big Stillwater Creek,[],157,OH,,,,H,,,,
Big Stones Creek,[],,OH,,,presumably Toussaint River,H,,,,
Big Yellow Creek,[],,OH,,,,H,,,,
Big-Tree,[],,NY,,,Genesee,,,,,
