person,years,factoid_lons,factoid_lats
"Addison, Anglican clergyman; Niagara.",['1810'],['-80.29967'],['43.1668']
"Adolph, Jacob.","['1748', '1750', '1749', '1749', '1749', '1749', '1749', '1749', '1750', '1747', '1748', '1748']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173']"
"Adolph, Jacob; Bethlehem.","['1747', '1747']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Albrecht, Johann Andreas; Bethlehem.","['1752', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Allen, Nathan, living at the Finery.",['1795'],['-73.26373'],['41.14121']
Allen.,['1799'],['-76.40302'],['39.94677']
"Anders, Anna Rosina; Bethlehem.","['1752', '1752']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Anderson (?), captain; Philipsburg, N.J.",['1763'],['-78.73031'],['40.86173']
"Anderson, Charles.","['1755', '1755', '1755', '1755', '1755']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.3584']"
"Anderson, capt., Royal Navy.",['1786'],['-83.04575'],['42.33143']
"Anderson, member of Ohio presbytery.",['1808'],['-83.28131'],['40.82728']
"Anderson, trader; Pittsburg.","['1776', '1776']","['-78.73031', '-76.40302']","['40.86173', '39.94677']"
Anderson.,"['1765', '1768', '1769']","['-76.26188', '-78.73031', '-82.11651']","['41.66813', '40.86173', '42.95008']"
"Andreas, Abraham.",['1747'],['-78.73031'],['40.86173']
"Antes, Christina, m. n. De W[?], w. of Henry Antes.","['1747', '1747']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Antes, Henry.","['1750', '1749', '1749', '1749', '1747', '1747', '1748']","['-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584']"
"Antes, Henry; Bethlehem.","['1747', '1764', '1764', '1764']","['-81.43428', '-74.13986', '-74.13986', '-78.73031']","['40.3584', '40.56233', '40.56233', '40.86173']"
"Apte, lieutenant.",['1774'],['-81.43428'],['40.3584']
"Apty, Thomas, major.",['1765'],['-78.73031'],['40.86173']
"Apty, Thomas; Philadelphia.",['1763'],['-75.22907'],['39.88539']
"Ardin, James; Bethlehem.",['1750'],['-81.43428'],['40.3584']
Arnold.,['1798'],['-82.44981'],['42.31679']
"Askin, John, Junior.",['1790'],['-83.04575'],['42.33143']
"Aspich, dr.; Westmoreland Co., Pa.",['1806'],['-74.32432'],['41.40204']
"Athen, Arion.",['1782'],['-81.43428'],['40.3584']
"Athen, Thomas.",['1782'],['-81.43428'],['40.3584']
"Bachhoff, Ludolph Gottlieb.",['1754'],['-78.73031'],['40.86173']
"Bachhoff, Ludolph Gottlieb; Bethlehem.","['1754', '1753']","['-76.55885', '-81.43428']","['40.78897', '40.3584']"
"Bader, Philipp Christian; Bethlehem.",['1752'],['-81.43428'],['40.3584']
"Bagge, Lorens; Bethlehem.","['1755', '1755']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Bagge, Traugott (prob.).",['1798'],['-80.00032'],['35.50069']
"Bailey, Joseph; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Baldwin, dr.",['1811'],['-73.26373'],['41.14121']
"Bardill, John.","['1821', '1821', '1821', '1821', '1821', '1821']","['-74.32432', '-81.31925', '-81.5654', '-74.32432', '-81.43428', '-75.30962']","['41.40204', '35.03791', '39.73618', '41.40204', '40.3584', '40.74038']"
"Baumgarten, Johann Georg.",['1755'],['-86.52774'],['31.24073']
Baumler.,['1918'],['-81.47377'],['40.44096']
"Baus, Christoph.","['1747', '1747', '1748']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Baus, Magdalena, m. n. Frey, w. of Christoph Baus.","['1747', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Baus, Magdalena.",['1748'],['-78.73031'],['40.86173']
