place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Acapulco,[],,,MX,,,,
Achain,[],,OH,,,Stone River,,
Achquittehannink,[],,,,,,,
Achquittehannink River,['also Echquitehanek'],,OH,,,,H,
Achsunnissunk,[],,,,,,,
Adams County,[],001,OH,,,mouth of Ohio Brush Creek,,
Adamstown,[],071,PA,,,,,
Africa,[],,,,Africa,,,
Alackhookamikoae,[],095,PA,,,branch of Wilson's Creek,,
Albany,['Albanien'],,NY,,,,,
Algiers,[],,,,,,,
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory,,
Allegheny Mountains,[],,PA,,,Bedford and Somerset County,T,
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,,L,
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains,H,
Allemaengel,[],077,PA,,,Lynn Township,,
Allemaengel,[],,,,,,,
Allen Township,[],095,PA,,,,,
Allentown,['Allenstown'],,PA,,,,,
Allobank,['Hallobank'],,,,,,,
Almenisepunk,[],,OH,,,Vermilion Creek,,
Amatschiwomunk,[],,,,,,,
Amboy,[],,,,,,,
America,[],,,,,,,
Amherstburg,[],,08,,,,,
Anahochquaga,[],,,,,,,
Anahochquaga modern Ouaguaza,"[""also Ann'hochguage"", 'Anagotware']",007,NY,,,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,,H,
Anajot,[],,NY,,,Oneida capit also | Tuscarora County,,
Ancaster,[],,08,,,,,
Annapolis,[],,MD,,,,,
Annaquachticok,"['Annachticok', 'Annacticok']",,CT,,,alternate name of Westenhuc,,
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",107,PA,,,,H,
Anohochquage,[],,,,,,,
Anokran,[],,,,,place between Shekomeko and Wehtak,,
Antigua,[],,,,,West Indies,,
Appelisikook,[],,OH,,,Walhending area,,
Armstrong's Town,[],,,,,,,
Asscennessik,['Assinnissink'],,,,,,,
Asscennessink,[],,,,,,,
Assunnunk,[],,,,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,OH,,,,H,
Astrachan,[],,,RU,,,,
Asylum,[],015,PA,,,,,
Atlantic Ocean,['Coast'],,,,,,H,
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,,,
Au Glaise River,[],,OH,,,,H,
Augusta,[],023,KY,,,,,
Austria,[],,,AT,,,,
Aux Sables River,[],,,,,Sand River | Ontario called Negausibis,H,
Awassantachque,[],,,,,Awossanttaque | Awossantagque,,
Balings Kill,[],,PA,,,probably Carbon County,,
Baltimore,[],,MD,,,,,
Barbados,[],,,BB,,West Indies,,
Barby,[],,,DE,,Moravian Center in Germany,,
Barton,[],,08,,,,,
Bass Islands,[],,,,,Lake Erie | Middle and South,,
Bath,[],101,NY,,,,,
Batomick,[],,,,,,,
Bavianskleof,[],,,,,Cape Colony,,
Bay of Quinte,[],,,,,Lake Ontario,H,
Beard's Tavern,[],,NY,,,New Jersey and Warwick | place between Hope,,
Beaver,['Beavertown'],,PA,,,,,
Beaver Creek,['Little Beaver River'],,OH,,,Little,H,
Beaver Dam,[],,,,,,,
Beaver River,[],,,,,Great | Creek,H,
Bedford,[],009,PA,,,,,
Bedford,[],,MA,,,England,,
Bedford County,[],009,PA,,,,,
Beersheba,[],,,,,,,
Beersheba,[],157,OH,,,near Gnadenhutten,,
Belldown,[],,08,,,Chenaie ecartee | Scottish settlement,,
Belle River,[],,,,,Western Ontario,H,
Belmont County,[],013,OH,,,,,
Benigna Creek,['?'],,,,,Schuylkill County Pennsylvania | Mahantango Creek,H,
Berbice,[],,,,South America,British Guyana,,
