place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
California,,,California,,,
Camp's Mill,"[""Campen's mill""]",,New York,,,
Dublin,,,,Ireland,,
Barby,,,,,,Moravian Center in Germany
Locust Point,,Ottawa County,Ohio,,,
Washington,,,Washington,,,District of Columbia
Pennsylvania,,,Pennsylvania,Lebanon,,
Cuyahoga,,,Ohio,,,River and area
Montreal,,Montreal,Quebec,Canada,,
Wild Creek,['presumably Wills Creek'],Coshocton County,Ohio,,,
Muncie,,Delaware County,Indiana,,,
Great Swamp,,Monroe County,Pennsylvania,,,
Montgomery County,,Montgomery County,Pennsylvania,,,
Maumee River,['Great Miami'],,,,,O
Gracehill,['Gnadenhugel'],,,,,
Berbice,,,,,,
Canajoharie Montgomery County,['Kannatschochori'],,New York,,,
Monongahela River,,,Pennsylvania,,,
Tulling Brook,['?'],,New York,,,
Sodus Point,,,New York,,,
Mocheslachpisisink,,,,,,
Bethlehem,,,Pennsylvania,,,Moravian Center
Bass Islands,,,,,,
White Eye's Town,,,,,,
Ganatocheracht,,,,,,
Fort Detroit,,,,,,
Wilson's Mill,,Northampton County,Pennsylvania,,,
Breakneck Hill,,,Pennsylvania,,,Susquehanna Valley
Kaek ke la muk paechung,,,,,,Town and Creek | Kekelamukpechung | Kekelamukpechen
Maschapinck Creek,,,,,,
Tennessee,,,Tennessee,,,
Friedensth also,,,,,,
North River-Hudson River,,,,,,
Harris' Ferry,,,,,,
Canajoharis,"['Connitschochery', 'Conitshaggery']",Montgomery County,New York,,,
Lehigh River,,,,,,
Turkey Hill,,New Haven County,Connecticut,,,Township of Derby
Snycardy,,,,,,
Tioga River,,,New York,,,
New River,,,West Virginia,,,
Meemkekak,,,,,,
Goschachgunk,,,,,,
Wills Creek,,Guernsey County,Ohio,,,
Caledonia,,Livingston County,New York,,,
Connytown,,Lancaster County,Pennsylvania,,,modern Bainbridge
Sandusky River,['St. Dusky River'],,Ohio,,,
Guinea,,,,Guinea,,West Africa
Rapids,,,Ohio,,,probably Grand Rapids | Maumee River
Quittoppehille,,,Pennsylvania,,,Lebanon
Elizabethtown,,Lancaster County,Pennsylvania,,,
Holland,,,,,,
High Lands,,,New York,,,
Helltown,,,Ohio,,,Walhending River
Pohopoco Creek,"['also Puchgapuchga', 'Puchkepuch', 'Puchquapuchque', 'Buggaguchga', 'Bugabuga', 'etc.']",,Pennsylvania,,,Monroe and Carbon County
Kaskaskunk Lawrence County,"['Kaskaskung', 'Caskaskung', 'Coschcaskung on Beaver River']",,Pennsylvania,,,
Antigua,,,,,,West Indies
Machchilusing,,,,,,
Utica,['Judica'],,,,,New York former Fort Skuyler
St. Clair River,,,,,,
Wechquitehanek River,,,Ohio,,,
Siis-queh-han-neek,,,,,,
Gnadenhutten,['White settlement'],Tuscarawas County,Ohio,,,
Big Sodus Bay,,,New York,,,
Quage Town,,,Ontario,,,Grand River
Old Pennsylvania Road,,,,,,
Canegotschik,,,,,,
New Spain,,,,,,
Coschosching,,,,,,Coschkoschunk
Shenango River and area,"['Shenenge', 'Sheninge']",,Pennsylvania,,,Mercer and Lawrence County
Monocacy River,['Manakosy'],,Maryland,,,
Chippawa,,,Ontario,,,
Kentucky,['Kentuk'],,Kentucky,,,
Barbados,,,,Barbados,,West Indies
New Fairfield,,,,,,
Wabash River,,,,,,
Heidelberg,,Berks County,Pennsylvania,,,
Buchkabuchka Creek Pohopoco Creek,['also Bugggabuchga'],Carbon County,Pennsylvania,,,
Glade Country,,,Pennsylvania,,,
Chillicothe,,,Ohio,,,
Gigeyunk Fort Wayne,['Kikeyunk'],,Indiana,,,
Albany,['Albanien'],,New York,,,
Chippewa Creek,,,Ontario,,,
Fort Cumberland,,,Maryland,,,
Jerome's Town,,Ashland County,,,,Ohio
Bedford,,Bedford County,Pennsylvania,,,
