place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Acapulco,[],,,Mexico,,,
Achain,[],,Ohio,,,Stone River,
Achquittehannink,[],,,,,,
Achquittehannink River,['also Echquitehanek'],,Ohio,,,,H
Achsunnissunk,[],,,,,,
Adams County,[],Adams County,Ohio,,,mouth of Ohio Brush Creek,
Adamstown,[],Lancaster County,Pennsylvania,,,,
Africa,[],,,,Africa,,
Alackhookamikoae,[],Northampton County,Pennsylvania,,,branch of Wilson's Creek,
Albany,['Albanien'],,New York,,,,
Algiers,[],,,,,,
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory,
Allegheny Mountains,[],,Pennsylvania,,,Bedford and Somerset County,T
Allegheny Ohio River and its territory,"['Allgene', 'Algene']",,,,,,L
Allegheny River,"['also Allegene', 'Aligena']",,,,,area | Mountains,H
Allemaengel,[],Lehigh County,Pennsylvania,,,Lynn Township,
Allemaengel,[],,,,,,
Allen Township,[],Northampton County,Pennsylvania,,,,
Allentown,['Allenstown'],,Pennsylvania,,,,
Allobank,['Hallobank'],,,,,,
Almenisepunk,[],,Ohio,,,Vermilion Creek,
Amatschiwomunk,[],,,,,,
Amboy,[],,,,,,
America,[],,,,,,
Amherstburg,[],,Ontario,,,,
Anahochquaga,[],,,,,,
Anahochquaga modern Ouaguaza,"[""also Ann'hochguage"", 'Anagotware']",Broome County,New York,,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,,H
Anajot,[],,New York,,,Oneida capit also | Tuscarora County,
Ancaster,[],,Ontario,,,,
Annapolis,[],,Maryland,,,,
Annaquachticok,"['Annachticok', 'Annacticok']",,Connecticut,,,alternate name of Westenhuc,
Annenthal probably Mahantango Creek,"[""Anna's Valley""]",Schuylkill County,Pennsylvania,,,,H
Anohochquage,[],,,,,,
Anokran,[],,,,,place between Shekomeko and Wehtak,
Antigua,[],,,,,West Indies,
Appelisikook,[],,Ohio,,,Walhending area,
Armstrong's Town,[],,,,,,
Asscennessik,['Assinnissink'],,,,,,
Asscennessink,[],,,,,,
Assunnunk,[],,,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,Ohio,,,,H
Astrachan,[],,,Russia,,,
Asylum,[],Bradford County,Pennsylvania,,,,
Atlantic Ocean,['Coast'],,,,,,H
Attike,"['Attique', 'Kittanning', 'Pennsylvania']",,,,,,
Au Glaise River,[],,Ohio,,,,H
Augusta,[],Bracken County,Kentucky,,,,
Austria,[],,,Austria,,,
Aux Sables River,[],,,,,Sand River | Ontario called Negausibis,H
Awassantachque,[],,,,,Awossanttaque | Awossantagque,
Balings Kill,[],,Pennsylvania,,,probably Carbon County,
Baltimore,[],,Maryland,,,,
Barbados,[],,,Barbados,,West Indies,
Barby,[],,,Germany,,Moravian Center in Germany,
Barton,[],,Ontario,,,,
Bass Islands,[],,,,,Lake Erie | Middle and South,
Bath,[],Steuben County,New York,,,,
Batomick,[],,,,,,
Bavianskleof,[],,,,,Cape Colony,
Bay of Quinte,[],,,,,Lake Ontario,H
Beard's Tavern,[],,New York,,,New Jersey and Warwick | place between Hope,
Beaver,['Beavertown'],,Pennsylvania,,,,
Beaver Creek,['Little Beaver River'],,Ohio,,,Little,H
Beaver Dam,[],,,,,,
Beaver River,[],,,,,Great | Creek,H
Bedford,[],Bedford County,Pennsylvania,,,,
Bedford,[],,Massachusetts,,,England,
Bedford County,[],Bedford County,Pennsylvania,,,,
Beersheba,[],,,,,,
Beersheba,[],Tuscarawas County,Ohio,,,near Gnadenhutten,
Belldown,[],,Ontario,,,Chenaie ecartee | Scottish settlement,
Belle River,[],,,,,Western Ontario,H
Belmont County,[],Belmont County,Ohio,,,,
Benigna Creek,['?'],,,,,Schuylkill County Pennsylvania | Mahantango Creek,H
Berbice,[],,,,South America,British Guyana,
Berks County,['Berkshire'],Berks County,Pennsylvania,,,,
Berlin,[],,,Germany,,,
Bern,[],,,Switzerland,,,
Berthelsdorf,[],,,Germany,,near Herrnhut,
Bethabara,[],,North Carolina,,,,
Bethanion,[],,North Carolina,,,,
Bethel,[],Berks County,Pennsylvania,,,,
Bethel on the Swatara,[],Berks County,Pennsylvania,,,,
Bethlehem,[],,Pennsylvania,,,Moravian Center,
Bethlehem,[],,New Hampshire,,,Palestine,
Big Beaver Creek,[],,Pennsylvania,,,,H
Big Sodus Bay,[],,New York,,,,H
Big Stillwater Creek,[],Tuscarawas County,Ohio,,,,H
Big Stones Creek,[],,Ohio,,,presumably Toussaint River,H
Big Yellow Creek,[],,Ohio,,,,H
Big-Tree,[],,New York,,,Genesee,
Bigbear Creek,[],,Ontario,,,,H
Black Creek,[],,,,,tribut. of St. Marys River,H
Black River,['presumably'],,Ohio,,,,H
Blanched's Forks,[],Hancock County,Ohio,,,,
Blue Mountains,[],,Pennsylvania,,,,T
Blue Mountains,[],Franklin County,Pennsylvania,,,,T
Boomerstown,[],Guernsey County,Ohio,,,,
Boston,[],,Massachusetts,,,,
Bound Brook,['Bambrug'],Somerset County,New Jersey,,,,
Boundbrook,['Baumbrook'],,New Jersey,,,,
Brandt's Town,[],,Ontario,,,Mohawk village near Brantford,
Brant's Town,"['probably Brantford', 'Ontario']",,,,,,
Brantford,['called Brownstown'],,Ontario,,,Brand's Town | Mohawk Town,
Braunschweig,[],,,,,Brunschwig,
Breakneck Hill,[],,Pennsylvania,,,Susquehanna Valley,T
Bremen,[],,,Germany,,,
Bristol,[],Bucks County,Pennsylvania,,,,
British Dominions,[],,,,,,
Broad Mountain,[],,,,,Pocono Plateau,T
